,Please use link below to make entry,,,,Top 10%,25-50%,75-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/2014 9:18:46,41980,Babakasmani,Ramsingh Dhalinder Shaikh,ITA Received,No,3112,77,,,,283,,,0,25,100,408,,,600,1008,Yes,1/1/2015,,Yes,1/31/2015,,,,,,231,231,0,0,0
1/3/2015 9:17:57,1/3/2015,noid,,ITA Received,No,2113,,,,,305,,,,0,50,405,Yes,No,600,1005,Yes,1/1/2015,,Yes,1/31/2015,,,,,,355,355,50,0,50
1/4/2015 23:33:49,1/4/2015,SKEE,Sam,ITA Received,No,2132,38,126,118,0,282,2,10,0,12,100,405,,,600,1005,Yes,1/4/2015,,Yes,1/31/2015,,,,"FSW, PNP",,11,11,11,0,11
3/1/2015 3:23:41,2/28/2015,nastasya,,ITA Received,No,1221,110,98,119,40,367,0,0,0,0,26,393,No,Yes,600,993,Yes,2/10/2015,Yes,Yes,2/21/2015,2/27/2015,,,"FSW, PNP, CEC",,0,0,0,0,0
1/13/2015 1:51:51,1/12/2015,handsome_zombie,Zombie11,ITA Received,Yes,1,,,,,364,,,,0,50,440,Yes,Yes,600,991,Yes,1/12/2015,,Yes,1/31/2015,,,,"FSW, CEC",,341,390,-23,-49,26
12/30/2014 20:47:41,12/30/2014,ee,,ITA Received,Yes,6311,110,120,94,40,364,,,,0,26,390,Yes,No,600,990,Yes,1/1/2015,,Yes,1/31/2015,,,,,,0,0,0,0,0
12/6/2014 12:19:43,12/5/2014,Nits,Nitin,ITA Received,No,6322,90,91,64,46,291,2,4,0,6,88,385,Yes,No,600,985,Yes,1/1/2015,,Yes,1/31/2015,,,,,,0,0,0,0,0
2/9/2015 2:30:19,2/8/2015,Panda,Panda,ITA Received,No,2283,45,112,86,35,278,10,18,0,28,76,382,Yes,No,600,982,Yes,2/7/2015,Yes,Yes,3/20/2015,,,,"FSW, CEC",,0,0,0,0,0
2/15/2015 23:54:21,2/15/2015,DevilCried2Me,Sid,ITA Received,No,2173,95,126,90,35,346,10,0,,10,25,381,Yes,No,600,981,No,2/11/2015,No,Yes,2/21/2015,,,,CEC,,0,0,0,0,0
12/27/2014 6:31:00,7/11/1987,Ganesha,Sharma ,ITA Received,No,421,110,128,86,0,324,0,0,0,0,50,374,Yes,,600,974,Yes,1/1/2015,,Yes,1/31/2015,,,,,,0,0,0,0,0
3/4/2015 9:49:51,3/3/2015,Intocanada,SW,ITA Received,No,2174,100,112,109,0,321,0,14,0,14,38,373,Yes,No,600,973,Yes,1/6/2015,Yes,Yes,1/31/2015,3/2/2015,,,FSW,,0,0,0,0,0
1/1/2015 3:36:37,12/31/2014,anandbabud,,ITA Received,,2174,100,112,16,35,263,8,,,8,100,371,Yes,,600,971,Yes,1/1/2015,,Yes,1/31/2015,,,,,,0,0,0,0,0
3/12/2015 13:01:06,1/26/2015,felix,,ITA Received,No,2173,,,,,313,,,,18,38,369,Yes,No,600,969,Yes,,Yes,Yes,1/31/2015,2/15/2015,,,FSW,,331,331,0,0,0
3/21/2015 19:30:03,1/26/2015,littlecute,,ITA Received,No,2173,,,,,313,,,,18,38,369,Yes,No,600,969,Yes,,Yes,Yes,1/31/2015,2/15/2015,,,,,331,331,0,0,0
12/6/2014 10:50:10,12/5/2014,rahul77,rahul,ITA Received,No,3131,110,120,94,0,324,0,0,0,0,38,362,Yes,No,600,962,Yes,1/1/2015,,Yes,1/31/2015,,,,,,0,0,0,0,0
3/21/2015 18:04:39,3/21/2015,KNEE0312,Kantha,ITA Received,No,1111,35,112,125,0,272,10,20,0,30,50,352,Yes,No,600,952,Yes,1/23/2015,No,Yes,1/31/2015,,,,,,0,0,0,0,0
12/24/2014 9:05:23,12/23/2014,toe2head,Aaron,ITA Received,No,6211,55,112,64,35,266,7,0,0,7,76,349,Yes,No,600,949,Yes,1/1/2015,,Yes,1/31/2015,,,,,,0,0,0,0,0
12/18/2014 1:27:44,12/17/2014,Abc1234,ps,ITA Received,No,2173,65,126,88,0,279,,,,0,13,328,Yes,Yes,600,928,Yes,1/1/2015,,Yes,1/31/2015,,,,,,36,36,36,0,36
12/3/2014 9:25:23,12/2/2014,akil_f1,akil,ITA Received,Yes,2283,100,91,32,46,269,10,0,0,10,38,317,Yes,No,600,917,Yes,1/1/2015,,Yes,1/31/2015,,,,,,0,0,0,0,0
12/5/2014 16:03:27,12/5/2014,Dittu,,ITA Received,Yes,2173,90,112,82,0,284,8,,0,8,13,305,No,Yes,600,905,Yes,1/1/2015,,Yes,1/31/2015,,,,,,0,0,0,0,0
2/24/2015 4:29:30,2/10/2015,no,Victor,ITA Received,No,2174,100,0,109,35,244,,,,0,50,294,Yes,No,600,894,Yes,2/10/2015,Yes,Yes,2/21/2015,,,,"FSW, CEC",,0,0,0,0,0
12/28/2014 17:37:08,12/28/2014,ahsihab,,ITA Received,No,1441,75,126,66,0,267,10,0,0,10,0,277,Yes,No,600,877,Yes,1/1/2015,,Yes,2/7/2015,,,,,,0,0,0,0,0
1/30/2015 20:36:51,1/30/2015,chadzz05,chadzkie,ITA Received,No,3712,110,,119,40,269,,,,0,0,269,Yes,No,600,869,Yes,1/30/2015,,Yes,2/7/2015,,,,CEC,,0,0,0,0,0
2/25/2015 23:14:53,2/25/2015,cedrick,gheorje,ITA Received,No,631,99,,102,64,265,,,,0,0,265,,,600,865,Yes,,Yes,Yes,2/21/2015,,,,CEC,,0,0,0,0,0
3/12/2015 19:26:07,3/12/2015,Colorblind,,ITA Received,No,2282,,,,,200,,,,15,50,265,Yes,No,600,865,Yes,1/1/2015,Yes,Yes,2/7/2015,2/26/2015,,,CEC,,215,215,0,0,0
2/13/2015 11:41:22,2/12/2015,JustAdi,Adi,ITA Received,No,7237,,,,,238,,,,0,25,263,Yes,No,600,863,Yes,2/11/2015,No,Yes,2/21/2015,,,,FST,,238,238,0,0,0
2/19/2015 3:31:58,2/18/2015,Lofoten,Andrea,ITA Received,No,6316,85,0,109,35,229,,,,5,26,260,Yes,No,600,860,Yes,1/1/2015,Yes,Yes,2/7/2015,2/14/2015,,,CEC,,5,5,0,0,0
3/2/2015 8:10:00,3/1/2015,Panka79,,ITA Received,,6311,77,,91,40,208,,,,0,26,234,Yes,No,600,834,Yes,2/18/2015,Yes,Yes,2/21/2015,,,,CEC,,0,0,0,0,0
1/22/2015 0:45:39,1/1/2015,Manual ,Manual ,ITA Received,No,6322,95,0,38,46,179,0,0,0,0,50,229,Yes,No,600,829,Yes,1/21/2015,,Yes,2/7/2015,,,,"CEC, FST",,0,0,0,0,0
3/9/2015 14:55:07,3/9/2015,dn,dn,ITA Received,No,621,36,112,20,25,193,8,20,0,28,0,221,Yes,No,600,821,No,,No,Yes,3/20/2015,,,,"FSW, CEC",,0,0,0,0,0
12/28/2014 17:27:06,12/28/2014,avrilko,Peter,ITA Received,No,2282,110,30,80,0,220,0,0,0,0,0,210,No,Yes,600,820,Yes,1/1/2015,,Yes,2/7/2015,,,,,,0,-10,0,10,-10
2/10/2015 1:58:46,2/9/2015,ryesa,ryesa,ITA Received,Yes,2173,25,0,103,35,163,0,0,0,0,50,213,Yes,No,600,813,Yes,2/6/2015,No,Yes,2/21/2015,,,,CEC,,0,0,0,0,0
2/8/2015 23:05:15,1/25/2015,123456,,ITA Received,,6611,,,,,200,,,,0,0,210,Yes,No,600,800,No,,No,Yes,3/20/2015,,,,CEC,,200,210,0,-10,10
1/20/2015 23:18:58,1/20/2015,goldeibawa,goldei,ITA Received,No,621,100,0,50,35,185,0,12,0,12,0,197,Yes,No,600,797,No,1/20/2015,,Yes,3/20/2015,,,,,,0,0,0,0,0
3/12/2015 2:05:40,3/11/2015,0,dennis,ITA Received,No,6211,34,0,36,56,126,0,0,5,5,0,172,Yes,No,600,772,Yes,2/28/2015,Yes,Yes,2/21/2015,4/28/2015,,,CEC,,41,41,41,0,41
1/2/2015 23:47:39,1/2/2015,Vincentlouise,Daniel,ITA Received,No,6322,55,0,47,0,102,0,0,0,0,0,102,Yes,No,600,702,Yes,1/1/2015,,Yes,3/20/2015,,,,,,0,0,0,0,0
3/15/2015 1:35:16,2/20/2015,Rovic0701,vic,ITA Received,,6312,,,,,35,,,,0,25,98,Yes,No,600,698,Yes,2/20/2015,No,Yes,3/20/2015,,,,CEC,,73,73,38,0,38
2/8/2015 21:32:29,2/5/2015,doritos,,ITA Received,No,2171,110,135,154,40,439,0,0,0,0,88,527,Yes,No,0,527,Yes,2/5/2015,No,Yes,3/20/2015,,,,"FSW, CEC",,0,0,0,0,0
1/11/2015 7:14:22,1/10/2015,doubleym,Matt,ITA Received,No,2174,110,135,136,40,421,0,0,5,5,100,526,Yes,No,0,526,Yes,1/10/2015,,Yes,3/20/2015,,,,"FSW, CEC",,0,0,0,0,0
1/1/2015 19:16:33,1/1/2015,88,formal_verification,ITA Received,Yes,4012,110,135,116,64,425,0,0,0,0,100,525,No,No,0,525,Yes,1/1/2015,,Yes,3/20/2015,,,,,,0,0,0,0,0
3/10/2015 21:41:49,3/10/2015,RafSal,Rafay,ITA Received,No,2171,110,135,133,40,418,,,,0,100,518,No,No,0,518,Yes,2/5/2015,No,Yes,3/20/2015,,,,"FSW, CEC",,0,0,0,0,0
1/9/2015 1:17:41,1/6/2015,starsniper_11 ,Sh,ITA Received,No,2171,105,135,136,40,416,,,,0,100,516,Yes,,0,516,Yes,1/6/2015,,Yes,3/20/2015,,,,"FSW, CEC",,0,0,0,0,0
2/9/2015 1:41:00,2/8/2015,MotorHed,,ITA Received,No,2132,105,120,136,53,414,0,0,0,0,100,514,No,No,0,514,Yes,1/2/2015,No,Yes,3/20/2015,,,,"FSW, CEC",,0,0,0,0,0
3/3/2015 2:05:57,3/2/2015,Shirebikes,Ed,ITA Received,Yes,2132,110,135,136,40,421,0,0,0,0,88,509,No,No,0,509,Yes,2/17/2015,No,Yes,3/20/2015,,,,FSW,,0,0,0,0,0
2/18/2015 9:55:14,2/17/2015,dino6,Din,ITA Received,No,1122,110,135,133,40,418,,,,0,88,506,No,No,0,506,Yes,1/10/2015,No,Yes,3/20/2015,,,,CEC,,0,0,0,0,0
2/8/2015 21:07:14,2/8/2015,uday0512.ca,Uday,ITA Received,No,2173,88,120,17,0,225,0,0,0,0,25,251,No,No,0,502,Yes,2/8/2015,No,Yes,3/20/2015,,,,FSW,,252,1,252,251,1
2/9/2015 13:06:08,2/9/2015,narmiamin,amin,ITA Received,No,2281,10,10,10,20,100,10,18,8,36,100,500,No,No,0,500,Yes,,No,Yes,3/20/2015,,,,,,314,314,264,0,264
1/9/2015 2:12:03,1/7/2015,rbird,,ITA Received,No,2174,110,128,130,40,408,0,0,0,0,88,496,No,Yes,0,496,Yes,1/7/2015,,Yes,3/20/2015,,,,"FSW, CEC",,0,0,0,0,0
1/30/2015 2:33:47,1/29/2015,Sher,Call me Lion,ITA Received,Yes,2174,110,128,133,40,411,,,,0,88,496,No,No,0,496,Yes,1/29/2015,,Yes,3/20/2015,,,,"FSW, CEC",,-3,-3,-3,0,-3
3/18/2015 10:13:50,1/29/2015,esj1,,ITA Received,Yes,2171,110,128,130,40,408,0,0,0,0,88,496,No,No,0,496,Yes,1/29/2015,No,Yes,3/20/2015,,,,,,0,0,0,0,0
2/20/2015 0:45:47,2/19/2015,DeniseD,Denise Deutsch,ITA Received,No,1123,83,135,136,40,394,,,,0,100,494,No,No,0,494,Yes,1/25/2015,No,Yes,3/20/2015,,,,CEC,,0,0,0,0,0
12/4/2014 23:15:18,12/4/2014,magicjoni,Jonathan Lee,ITA Received,No,1111,100,126,128,35,389,2,0,0,2,100,491,No,No,0,491,Yes,1/1/2015,,Yes,3/20/2015,,,,,,0,0,0,0,0
12/21/2014 3:39:08,12/20/2014, , ,ITA Received,No,2161,110,135,130,40,415,0,0,0,0,76,491,No,No,0,491,Yes,1/1/2015,,Yes,3/20/2015,,,,,,0,0,0,0,0
2/18/2015 19:56:45,2/18/2015,Yanks1108,Pierre,ITA Received,No,4162,100,112,128,35,375,8,20,0,28,88,491,No,No,0,491,Yes,2/18/2015,No,Yes,3/20/2015,,,,CEC,,0,0,0,0,0
1/14/2015 1:25:09,1/13/2015,Royca15,Roy ,ITA Received,No,2131,105,150,119,40,414,,,,0,76,490,No,No,0,490,Yes,1/13/2015,,Yes,3/20/2015,,,,"FSW, CEC",,0,0,0,0,0
3/3/2015 0:57:15,3/2/2015,ravi150580,Ravi,ITA Received,No,6314,75,126,122,35,358,7,20,5,32,100,490,No,No,0,490,Yes,1/2/2015,No,Yes,3/20/2015,,,,"FSW, CEC",,0,0,0,0,0
2/13/2015 21:33:37,2/13/2015,iamthewalrus,h,ITA Received,No,1121,110,128,136,40,414,0,0,0,0,75,489,No,No,0,489,No,,No,Yes,3/20/2015,,,,"FSW, CEC",,0,0,0,0,0
1/26/2015 9:31:32,1/25/2015,Vivek 2117,Vivek,ITA Received,Yes,2171,99,135,113,40,387,,,,0,100,487,No,No,0,487,Yes,1/26/2015,,Yes,3/20/2015,,,,"FSW, CEC",,0,0,0,0,0
3/4/2015 0:45:17,3/3/2015,Tedward,Ted,ITA Received,No,2121,110,150,136,40,436,,,,0,50,486,No,No,0,486,Yes,1/30/2015,No,Yes,3/20/2015,,,,CEC,,0,0,0,0,0
3/25/2015 22:43:41,3/25/2015,dmalik,Deepak,ITA Received,Yes,2173,100,126,119,35,380,0,0,5,5,100,485,No,No,0,485,Yes,1/16/2015,No,Yes,3/27/2015,,,,"FSW, CEC",,0,0,0,0,0
1/5/2015 10:27:56,1/4/2015,2117,vivek,ITA Received,No,2171,99,135,110,40,384,,,,0,100,484,No,No,0,484,No,1/4/2015,,Yes,3/20/2015,,,,CEC,,0,0,0,0,0
2/14/2015 2:08:30,2/13/2015,CEC2EE,,ITA Received,No,1112,110,135,122,40,407,0,0,0,0,76,483,No,No,0,483,Yes,1/29/2015,No,Yes,3/20/2015,,,,"FSW, CEC",,0,0,0,0,0
1/5/2015 6:36:26,12/2/2014,idefix,idefix,ITA Received,Yes,13,85,126,143,0,354,8,20,0,28,100,482,No,No,0,482,Yes,1/1/2015,,Yes,3/20/2015,,,,FSW,,0,0,0,0,0
3/4/2015 10:08:58,3/3/2015,Rosalie87,,ITA Received,No,5227,110,120,136,40,406,,,,0,76,482,No,No,0,482,Yes,1/29/2015,No,Yes,3/20/2015,,,,"FSW, CEC",,0,0,0,0,0
12/3/2014 1:36:44,12/2/2014,kainthsimranjit,Simranjit Kainth,ITA Received,Yes,2171,110,135,136,0,381,0,0,0,0,100,481,No,No,0,481,Yes,1/1/2015,,Yes,3/20/2015,,,,,,0,0,0,0,0
12/21/2014 23:55:11,12/21/2014,joelmath,,ITA Received,No,1123,100,126,128,0,353,10,18,0,28,100,481,No,No,0,481,Yes,1/1/2015,,Yes,3/20/2015,,,,,,-1,-1,0,0,0
1/9/2015 11:23:08,1/9/2015,rhea2722,Swapna,ITA Received,No,2173,110,135,136,,381,,,,0,100,481,No,No,0,481,Yes,1/9/2015,,Yes,3/20/2015,,,,FSW,,0,0,0,0,0
1/14/2015 16:46:50,1/14/2015,fl_pie,fl_pie,ITA Received,Yes,2174,110,135,136,0,381,,,,0,100,481,No,No,0,481,Yes,1/14/2015,,Yes,3/20/2015,,,,FSW,,0,0,0,0,0
2/16/2015 15:51:08,2/16/2015,Hnb,hnbh,ITA Received,No,712,110,135,136,,381,,,,0,50,481,No,No,0,481,Yes,1/18/2015,No,Yes,3/20/2015,,,,FSW,,50,50,50,0,50
3/2/2015 5:11:01,3/1/2015,aj355,Aakash Jain,ITA Received,No,2173,110,135,136,0,381,0,0,0,0,84,481,No,No,0,481,Yes,1/3/2015,No,Yes,3/20/2015,,,,FSW,,16,16,16,0,16
1/8/2015 21:59:39,12/8/2014,Deccan,,ITA Received,Yes,4166,65,140,147,0,330,10,18,0,28,100,480,No,No,0,480,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,22,0,22
3/16/2015 0:12:21,12/3/0005,ciscotao,,ITA Received,No,2171,110,120,133,40,403,,,,0,76,479,No,No,0,479,Yes,3/15/2015,Yes,Yes,3/27/2015,,,,"FSW, CEC",,0,0,0,0,0
12/30/2014 9:26:28,12/29/2014,San123,Sanju,ITA Received,No,2171,85,126,122,35,368,10,,,10,100,478,No,No,0,478,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
3/8/2015 21:18:48,1/5/2015,semilolo,,ITA Received,Yes,2131,110,135,133,0,278,0,0,0,0,100,478,No,No,0,478,Yes,1/2/2015,Yes,Yes,3/27/2015,,,,"FSW, PNP",,0,0,100,0,100
1/9/2015 1:55:06,1/8/2015,none,Prakash,ITA Received,No,2173,100,140,122,0,362,0,16,0,16,100,478,No,No,0,478,Yes,1/8/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
1/23/2015 10:23:06,1/22/2015,yesrohit,Rohit,ITA Received,Yes,2145,110,135,133,0,378,0,0,0,0,100,478,No,No,0,478,Yes,1/22/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
2/16/2015 7:01:08,2/15/2015,229231,singhgsr,ITA Received,Yes,213,110,135,133,0,378,,,,0,100,478,No,No,0,478,Yes,1/7/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
3/4/2015 4:05:39,3/3/2015,kajhinkson,Kyle,ITA Received,No,213,110,120,133,64,427,,,,0,50,477,No,No,0,477,Yes,1/16/2015,Yes,Yes,3/27/2015,,,,"FSW, CEC",,0,0,0,0,0
1/8/2015 22:57:03,1/2/2015,Elena101,Elena101,ITA Received,Yes,4214,105,135,136,0,376,0,0,0,0,100,476,No,No,0,476,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
12/25/2014 15:47:36,12/25/2014,flangepoint,flangepoint,ITA Received,No,0,99,128,148,0,375,0,0,0,0,100,475,No,No,0,475,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
12/29/2014 9:27:33,12/29/2014,HOP,Michael,ITA Received,No,2131,110,135,130,,375,,,,0,100,475,No,No,0,475,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
1/5/2015 0:45:03,1/2/2015,test101,Kai Hahto,ITA Received,Yes,2281,110,135,130,0,375,0,0,0,0,100,475,No,No,0,475,Yes,1/2/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
1/13/2015 23:02:17,1/12/2015,kateg,,ITA Received,No,2121,100,126,128,0,354,0,20,0,20,100,474,No,No,0,474,Yes,1/12/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
2/11/2015 11:04:55,1/13/2015,HanEEnah,Hannah D,ITA Received,No,1111,110,128,136,0,374,0,0,0,0,10,474,No,No,0,474,Yes,2/10/2015,Yes,Yes,3/27/2015,,,,FSW,,90,90,90,0,90
12/5/2014 8:08:57,12/5/2014,auscanada,,ITA Received,No,2133,105,135,133,0,373,0,0,0,0,100,473,No,No,0,473,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
1/9/2015 9:20:49,1/8/2015,manshma31,mansh,ITA Received,Yes,2174,105,135,133,0,373,0,0,0,0,100,473,No,No,0,473,Yes,1/8/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
2/5/2015 21:42:57,2/5/2015,wyueshen,,ITA Received,No,2121,80,140,108,35,363,10,,,10,100,473,No,No,0,473,Yes,2/5/2015,Yes,Yes,3/27/2015,,,,"FSW, CEC",,0,0,0,0,0
12/4/2014 21:22:34,12/4/2014,1,Sundeep,ITA Received,No,2281,100,126,116,0,342,10,20,0,30,100,472,No,No,0,472,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
3/14/2015 19:57:13,12/21/2014,Maneha,Maneha,ITA Received,No,2174,100,126,122,0,348,10,14,0,24,100,472,No,No,0,472,Yes,1/16/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
12/25/2014 14:26:57,12/25/2014,gurpreet.asrgndu,gurpreet singh,ITA Received,Yes,2173,110,135,127,0,372,0,0,0,0,100,472,No,No,0,472,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
1/23/2015 15:37:26,1/23/2015,hollaugo,Ugochukwu Osuji,ITA Received,Yes,6221,110,135,127,0,372,0,0,0,0,100,472,No,No,0,472,Yes,1/22/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
,12/3/2014,srbhrn,Saurabh Rana,ITA Received,Yes,2171,100,126,125,0,351,0,20,0,28,100,471,No,No,0,471,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,FSW,,0,0,-8,0,-8
12/24/2014 5:29:07,12/23/2014,Alex1988,Alex,ITA Received,No,1223,110,135,86,40,371,,,,0,100,471,Yes,No,0,471,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
3/5/2015 6:13:40,1/16/2015,itsns,Namita,ITA Received,Yes,5241,110,128,133,40,371,,,,0,100,471,No,No,0,471,Yes,,Yes,Yes,3/27/2015,,,,"FSW, CEC",,-40,-40,0,0,0
2/25/2015 5:18:33,2/11/2015,purplesnow,,ITA Received,No,6281,110,135,136,40,421,,,,0,50,471,No,No,0,471,Yes,2/24/2015,Yes,Yes,3/27/2015,,,,"FSW, CEC",,0,0,0,0,0
3/22/2015 1:51:18,3/21/2015,katja2684,Katalin,ITA Received,No,2171,99,120,136,40,395,0,0,0,0,76,471,No,No,0,471,Yes,5/3/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
12/22/2014 16:54:42,12/22/2014,Ash,Ashish,ITA Received,Yes,1,100,126,116,0,342,10,12,,28,100,470,No,No,0,470,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,6,6,0,0,0
3/3/2015 7:13:54,1/27/2015,yorajan1,Rajan ,ITA Received,No,2131,105,135,130,,370,,,,0,0,470,No,No,0,470,Yes,1/27/2015,Yes,Yes,3/27/2015,,,,FSW,,100,100,100,0,100
12/4/2014 18:25:48,12/4/2014,J081,JS,ITA Received,No,2132,110,135,124,0,369,0,0,0,0,100,469,No,No,0,469,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
12/31/2014 1:48:56,12/30/2014,bouncer,Bouncer,ITA Received,No,2171,100,112,102,46,360,9,,,9,100,469,No,No,0,469,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,,,0,0,0,0,0
1/7/2015 7:14:57,1/6/2015,versprechen,,ITA Received,Yes,4163,110,120,136,53,419,0,0,0,0,50,469,No,No,0,469,Yes,1/6/2015,Yes,Yes,3/27/2015,,,,"FSW, CEC",,0,0,0,0,0
2/20/2015 3:59:56,2/19/2015,oneilg25,Gavin,ITA Received,No,6091,110,120,136,53,419,0,0,0,0,50,469,No,No,0,469,Yes,2/17/2015,Yes,Yes,3/27/2015,,,,"FSW, CEC",,0,0,0,0,0
3/22/2015 22:04:08,3/22/2015,aditya_shende,Aditya Shende,ITA Received,No,122,90,126,125,0,341,8,20,0,28,100,469,No,No,0,469,Yes,1/26/2015,Yes,Yes,3/27/2015,,,,FSW,,,,,,
12/18/2014 9:27:56,12/17/2014,april2014_AINP,oc,ITA Received,No,2132,110,135,133,40,418,0,0,0,0,50,468,No,No,0,468,Yes,1/1/2015,Yes,Yes,3/27/2015,,,,CEC,,0,0,0,0,0
1/29/2015 5:50:45,1/28/2015,esj,Euclid,ITA Received,No,2171,110,128,114,40,392,0,0,0,0,76,468,No,No,0,468,Yes,12/1/2015,Yes,Yes,3/27/2015,,,,"FSW, CEC",,0,0,0,0,0
2/5/2015 22:39:03,2/5/2015,d_dayal,Dayal,ITA Received,No,2174,110,135,133,40,418,0,0,0,0,50,468,No,No,0,468,Yes,2/5/2015,Yes,Yes,3/27/2015,,,,"FSW, CEC",,0,0,0,0,0
2/28/2015 14:58:59,2/28/2015,N/A,Nikhil G,ITA Received,No,1111,110,128,130,0,368,0,0,0,0,100,468,No,No,0,468,No,,Yes,Yes,3/27/2015,,,,FSW,,0,0,0,0,0
